iter	Passed	Remaining
0	624	124262
1	945	93576
2	1252	82258
3	1597	78280
4	1884	73504
5	2223	71879
6	2516	69375
7	2850	68410
8	3135	66541
9	3491	66340
10	3819	65629
11	4155	65105
12	4460	64156
13	4805	63842
14	5093	62816
15	5424	62384
16	5717	61547
17	6072	61400
18	6361	60600
19	6693	60239
20	6987	59560
21	7347	59446
22	7643	58823
23	7973	58473
24	8288	58020
25	8607	57606
26	8921	57160
27	9251	56830
28	9536	56232
29	9861	55880
30	10170	55448
31	10504	55147
32	10813	54724
33	11149	54436
34	11417	53823
35	11718	53384
36	12021	52961
37	12291	52402
38	12573	51906
39	12833	51335
40	13096	50789
41	13384	50351
42	13636	49788
43	13914	49332
44	14192	48885
45	14467	48435
46	14729	47949
47	15035	47611
48	15293	47129
49	15560	46681
50	15825	46235
51	16102	45830
52	16368	45399
53	16659	45043
54	16926	44625
55	17200	44229
56	17474	43840
57	17737	43425
58	17999	43015
59	18293	42684
60	18557	42285
61	18812	41872
62	19102	41540
63	19382	41188
64	19664	40842
65	19945	40496
66	20213	40125
67	20465	39727
68	20733	39362
69	20988	38978
70	21298	38697
71	21567	38341
72	21829	37977
73	22120	37664
74	22361	37269
75	24739	40364
76	25006	39945
77	25268	39522
78	25551	39135
79	28941	43412
80	29200	42899
81	29476	42418
82	29738	41921
83	33611	46415
84	33880	45838
85	34132	45245
86	34387	44664
87	38627	49162
88	38921	48543
89	39201	47913
90	43134	51666
91	43379	50923
92	43658	50230
93	43908	49513
94	44158	48806
95	47294	51235
96	47544	50485
97	47822	49774
98	48071	49042
99	51059	51059
100	51301	50286
101	51558	49536
102	51823	48804
103	54674	50468
104	54929	49698
105	55206	48956
106	55476	48218
107	58288	49653
108	58562	48891
109	58816	48122
110	61518	49325
111	61813	48567
112	62076	47793
113	62333	47023
114	65044	48076
115	65311	47294
116	65568	46514
117	65823	45741
118	68555	46663
119	68821	45880
120	69073	45097
121	69338	44331
122	72145	45164
123	72403	44376
124	72649	43589
125	72894	42810
126	75665	43492
127	75916	42703
128	76187	41932
129	76433	41156
130	79174	41702
131	79432	40919
132	79718	40159
133	79994	39400
134	82675	39806
135	82934	39027
136	83188	38254
137	85916	38600
138	86192	37825
139	86448	37049
140	86725	36289
141	89411	36520
142	89673	35744
143	89947	34979
144	90201	34214
145	92888	34356
146	93141	33581
147	93396	32814
148	93659	32057
149	96400	32133
150	96652	31364
151	96916	30605
152	97169	29849
153	99816	29815
154	100076	29054
155	100337	28300
156	100588	27549
157	103345	27471
158	103606	26716
159	103857	25964
160	104126	25223
161	106835	25060
162	107088	24308
163	107341	23562
164	107611	22826
165	110300	22591
166	110575	21850
167	110840	21112
168	111098	20378
169	113779	20078
170	114037	19339
171	114285	18604
172	116943	18251
173	117190	17511
174	117457	16779
175	117733	16054
176	120459	15652
177	120716	14919
178	120990	14194
179	121236	13470
180	123960	13012
181	124215	12285
182	124459	11561
183	124718	10845
184	127423	10331
185	127685	9610
186	127960	8895
187	128220	8184
188	130916	7619
189	131178	6904
190	131430	6193
191	131721	5488
192	134419	4875
193	134686	4165
194	134965	3460
195	135251	2760
196	137967	2101
197	138221	1396
198	138506	696
199	141212	0
