iter	Passed	Remaining
0	67	6718
1	131	6427
2	191	6184
3	251	6040
4	312	5940
5	411	6452
6	3133	41630
7	3187	36659
8	3277	33140
9	3338	30048
10	3491	28251
11	3594	26361
12	3663	24516
13	3762	23113
14	3834	21727
15	3922	20592
16	4017	19616
17	4072	18552
18	4125	17587
19	6833	27333
20	7093	26685
21	7194	25506
22	7614	25492
23	7706	24402
24	10373	31120
25	10641	30286
26	11075	29945
27	14105	36270
28	14528	35570
29	14953	34891
30	17987	40036
31	18241	38763
32	21268	43181
33	21698	42120
34	21954	40772
35	22102	39292
36	24876	42357
37	25141	41021
38	25232	39466
39	25377	38066
40	25800	37127
41	28830	39814
42	29250	38773
43	32232	41023
44	32327	39511
45	32752	38448
46	35808	40380
47	36235	39255
48	36658	38154
49	39672	39672
50	40096	38523
51	43118	39801
52	43541	38612
53	43643	37177
54	46648	38167
55	47074	36986
56	47495	35830
57	50454	36535
58	50876	35354
59	53898	35932
60	54328	34734
61	54392	33337
62	54536	32029
63	54958	30914
64	55103	29670
65	55531	28606
66	55969	27567
67	56456	26567
68	56968	25594
69	57414	24606
70	57847	23627
71	58294	22670
72	58721	21718
73	58798	20658
74	58870	19623
75	59301	18726
76	59739	17844
77	60186	16975
78	60625	16115
79	60781	15195
80	61229	14362
81	61671	13537
82	62115	12722
83	62544	11913
84	62974	11113
85	63415	10323
86	63855	9541
87	64297	8767
88	64754	8003
89	65221	7246
90	65658	6493
91	66094	5747
92	66522	5007
93	66952	4273
94	67386	3546
95	67819	2825
96	68254	2110
97	68708	1402
98	69156	698
99	69597	0
